The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
2507,    Between 9 a.m. and 11:59 a.m.,600,3700,780,1665,1365,1300,2150,560,1125,1925,1130,1825,560,2345,1055,350,300,400,1285,1375,2835,575,29180,83955
2508,    Between 12 p.m. and 4:59 a.m.,330,1900,365,930,1155,1255,2255,245,1175,1255,995,1245,195,2655,660,150,195,335,2255,1435,2450,280,23670,93070
2509,  Total - Time leaving for work for the female employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,2495,15070,3745,10165,8325,8200,12695,2250,6905,12600,5445,10695,2210,12660,5775,1300,1835,1760,8705,6890,13135,2390,154930,557200
2510,    Between 5 a.m. and 5:59 a.m.,30,300,35,215,235,360,460,25,215,220,160,225,50,600,135,20,70,40,355,300,365,25,4425,23880
2511,    Between 6 a.m. and 6:59 a.m.,200,1105,265,1000,870,855,1425,150,1040,1000,545,960,175,1525,515,70,195,130,1250,830,1260,195,15515,72540
2512,    Between 7 a.m. and 7:59 a.m.,570,3625,815,2760,1835,2055,3035,510,1735,3390,1225,2610,520,3005,1380,240,440,350,1865,1450,3080,535,36950,140385
2513,    Between 8 a.m. and 8:59 a.m.,730,5380,1340,3305,2560,2130,3290,805,1790,4305,1430,3755,565,3065,1920,400,575,545,1925,1765,4180,760,46375,139475
2514,    Between 9 a.m. and 11:59 a.m.,640,3065,930,1885,1620,1655,2465,520,1265,2210,1225,2000,575,2500,1100,430,360,430,1520,1480,2435,550,30780,99695
2515,    Between 12 p.m. and 4:59 a.m.,335,1605,375,1010,1210,1140,2020,230,855,1475,865,1150,330,1960,720,145,195,265,1795,1065,1820,330,20880,81235
,,,,,,,,,,,,,,,,,,,,,,,,,
2516,Total - Citizenship for the population in private households - 25% sample data,15075,58855,21285,32725,29000,34110,48870,13900,28930,42755,24135,32235,13025,51220,22370,7995,7570,9855,36075,30235,46720,12925,618210,2426230
2517,  Canadian citizens,12200,46725,18190,29025,26525,30585,42755,11670,25435,36945,19770,28960,10675,42925,20370,6725,6800,8850,29270,25965,36155,10855,525810,2103120
2518,    Canadian citizens under age 18,2245,3830,4030,2820,3520,5465,7980,2070,4860,4785,2965,3180,1755,7085,3840,1375,1240,1145,6170,4380,1915,1990,78280,403685
2519,    Canadian citizens aged 18 and over,9955,42895,14165,26205,23000,25120,34775,9600,20575,32165,16810,25780,8920,35840,16535,5345,5560,7705,23100,21585,34245,8860,447530,1699435
2520,  Not Canadian citizens,2870,12130,3095,3695,2480,3530,6115,2225,3500,5805,4360,3275,2345,8290,1995,1265,765,1010,6810,4270,10565,2075,92400,323115
2521,  Total - Citizenship for males in private households - 25% sample data,6840,30855,10295,14915,14150,16695,23835,6475,13665,19950,11770,15710,5990,24985,10700,3845,3550,5205,17710,14660,24525,6150,301665,1185400
2522,    Canadian citizens,5470,24835,8765,13205,12915,15075,20945,5425,12115,17100,9745,14175,4825,21225,9885,3265,3195,4715,14460,12620,19220,5110,257515,1032700
2523,      Canadian citizens under age 18,1170,2030,2105,1525,1855,2800,4015,1095,2485,2490,1615,1600,885,3660,2000,720,660,560,3285,2300,970,1025,40655,208715
2524,      Canadian citizens aged 18 and over,4300,22800,6660,11680,11060,12275,16925,4330,9635,14605,8130,12575,3940,17570,7885,2545,2535,4150,11180,10320,18250,4080,216855,823985
2525,    Not Canadian citizens,1370,6020,1530,1705,1235,1620,2890,1050,1545,2850,2030,1535,1165,3755,815,580,355,495,3250,2040,5305,1040,44150,152705
2526,  Total - Citizenship for females in private households - 25% sample data,8235,28005,10995,17810,14850,17420,25035,7425,15270,22805,12365,16525,7035,26235,11670,4145,4020,4650,18365,15570,22195,6775,316545,1240830
2527,    Canadian citizens,6730,21890,9425,15820,13610,15510,21810,6250,13315,19850,10025,14785,5855,21700,10485,3465,3610,4140,14810,13340,16935,5740,268295,1070420
2528,      Canadian citizens under age 18,1080,1805,1925,1295,1665,2665,3965,975,2380,2290,1350,1580,875,3425,1835,660,580,585,2890,2075,945,965,37620,194970
2529,      Canadian citizens aged 18 and over,5655,20090,7500,14525,11945,12850,17845,5270,10935,17560,8675,13205,4975,18275,8650,2805,3030,3550,11920,11265,15995,4780,230670,875450
2530,    Not Canadian citizens,1505,6110,1565,1995,1240,1910,3220,1175,1950,2950,2335,1740,1180,4535,1180,685,410,515,3555,2230,5255,1030,48250,170415
,,,,,,,,,,,,,,,,,,,,,,,,,
2531,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,15070,58855,21285,32725,29005,34110,48870,13895,28935,42755,24135,32230,13025,51220,22365,7990,7565,9855,36080,30235,46720,12925,618210,2426235
2532,  Non-immigrants,6650,29690,12605,21895,20490,17845,24760,6560,13295,28840,9860,22125,4715,19985,14055,4145,4600,5765,14250,11410,25460,7480,325175,1358990
2533,  Immigrants,7730,23590,7960,9560,7715,15305,22610,6640,15120,11580,13140,9010,7720,28710,7645,3535,2630,3895,20155,18155,15945,4785,262765,989545
2534,    Before 1981,1605,3780,2120,2915,2360,5175,5645,1465,3415,3740,2285,1830,1820,6420,2680,940,895,955,4280,4545,3675,1465,63890,209980
2535,    1981 to 1990,740,2425,730,1170,1485,2740,4220,840,2410,1120,1735,1440,1015,5165,1195,400,405,825,3010,3185,1580,415,38210,120730
2536,    1991 to 2000,1550,6355,1385,2095,1540,3810,5585,1390,4525,1930,3720,2330,1990,7345,1920,615,640,1080,4990,4895,3125,725,63480,247830
2537,    2001 to 2010,2575,6590,2405,1930,1415,2280,4490,2200,3100,2530,3645,1975,2025,6300,1045,985,445,705,4665,3440,3800,1390,59855,268475
2538,      2001 to 2005,1170,2995,880,860,660,1145,2070,665,1580,1110,1805,895,965,2920,525,290,155,345,2190,1570,1610,540,26900,124890
2539,      2006 to 2010,1405,3600,1520,1065,755,1135,2420,1540,1515,1425,1840,1080,1065,3385,515,700,295,365,2470,1870,2190,850,32955,143580
2540,    2011 to 2016,1260,4440,1325,1455,920,1300,2665,740,1665,2255,1745,1430,870,3475,800,595,250,330,3210,2085,3770,785,37335,142535
2541,  Non-permanent residents,690,5575,720,1270,795,965,1495,705,525,2335,1140,1100,595,2530,670,310,340,200,1670,670,5320,670,30270,77700
2542,  Total - Immigrant status and period of immigration for males in private households - 25% sample data,6840,30855,10295,14915,14150,16690,23835,6475,13665,19950,11770,15710,5985,24980,10700,3845,3545,5205,17715,14660,24525,6150,301665,1185400
2543,    Non-immigrants,3220,16500,6345,10250,10165,9300,12845,3235,6650,13430,5245,11010,2410,10865,7090,2055,2225,3250,7615,6020,13865,3645,166590,686180
2544,    Immigrants,3330,11435,3630,4065,3575,6890,10285,2915,6790,5380,5990,4185,3255,13020,3330,1680,1175,1850,9295,8310,7875,2205,120310,461660
2545,      Before 1981,695,2015,975,1185,1165,2460,2640,685,1535,1700,1070,955,790,3140,1260,480,400,480,2005,2215,1815,710,30340,100685
2546,      1981 to 1990,305,1205,320,490,665,1205,2015,340,1025,525,770,615,380,2380,485,185,165,410,1420,1470,760,190,17310,56305
2547,      1991 to 2000,655,3020,615,900,620,1690,2425,615,2140,850,1745,1035,875,3095,825,260,295,455,2295,2145,1545,330,28390,114340
2548,      2001 to 2010,1075,3060,1080,795,650,995,1890,980,1360,1180,1650,940,790,2800,385,475,190,335,2010,1470,1955,580,26595,123245
2549,        2001 to 2005,470,1365,415,360,250,490,910,280,680,515,860,420,390,1295,190,130,45,155,930,705,775,210,11810,57195
2550,        2006 to 2010,610,1690,665,435,395,510,980,705,680,665,790,520,405,1505,195,345,140,180,1085,765,1185,370,14790,66050
2551,      2011 to 2016,605,2135,645,695,475,540,1310,300,735,1125,755,640,420,1605,370,280,130,170,1560,1000,1795,400,17675,67090
2552,    Non-permanent residents,290,2920,320,600,410,505,705,325,225,1140,535,510,320,1095,280,110,145,105,800,330,2790,305,14760,37560
2553,  Total - Immigrant status and period of immigration for females in private households - 25% sample data,8240,28000,10990,17810,14850,17420,25035,7420,15270,22800,12365,16525,7040,26235,11670,4145,4020,4650,18370,15570,22190,6775,316545,1240835
2554,    Non-immigrants,3435,13185,6255,11645,10325,8540,11915,3325,6640,15405,4610,11110,2305,9120,6965,2085,2370,2515,6640,5390,11600,3830,158585,672810
2555,    Immigrants,4395,12160,4330,5500,4145,8415,12330,3725,8330,6200,7145,4825,4460,15690,4315,1855,1455,2045,10865,9845,8065,2575,142455,527885
2556,      Before 1981,905,1765,1150,1725,1190,2715,3005,780,1885,2040,1220,875,1025,3275,1420,455,495,470,2275,2330,1860,755,33550,109295
2557,      1981 to 1990,435,1220,410,685,820,1530,2215,505,1385,595,960,825,635,2780,710,215,235,415,1595,1710,815,225,20900,64425
2558,      1991 to 2000,900,3340,765,1195,920,2125,3155,780,2385,1080,1980,1295,1115,4250,1095,360,340,625,2695,2755,1580,400,35090,133490
2559,      2001 to 2010,1495,3525,1320,1130,770,1280,2605,1220,1740,1350,1995,1040,1235,3505,655,510,255,375,2655,1965,1840,810,33255,145230
2560,        2001 to 2005,705,1625,465,500,405,655,1165,380,905,590,945,480,575,1625,335,155,105,190,1265,865,835,330,15090,67695
2561,        2006 to 2010,795,1900,855,635,365,625,1440,840,840,755,1050,565,655,1875,325,355,150,180,1385,1105,1005,480,18165,77530
2562,      2011 to 2016,660,2305,680,760,445,760,1355,440,930,1130,995,785,445,1875,425,315,120,160,1650,1085,1970,390,19660,75440
2563,    Non-permanent residents,405,2655,405,670,385,465,790,375,300,1195,605,595,275,1425,390,205,195,95,870,335,2530,365,15510,40140
,,,,,,,,,,,,,,,,,,,,,,,,,
2564,Total - Age at immigration for the immigrant population in private households - 25% sample data,7730,23595,7965,9560,7715,15300,22610,6640,15120,11580,13140,9010,7715,28710,7640,3535,2630,3895,20155,18160,15945,4780,262770,989540
2565,  Under 5 years,765,1770,760,1030,650,1035,1275,580,1035,1150,915,945,555,1580,685,290,220,265,1095,1030,1155,440,19195,78020
2566,  5 to 14 years,1470,4240,1585,1595,1175,2220,2990,1200,2405,2020,2350,1500,1335,3730,1145,740,455,450,2730,2540,2335,835,40950,158290
2567,  15 to 24 years,1265,4515,1370,1715,1485,3865,5580,1245,3075,2210,2315,1465,1575,6720,1630,675,580,590,5220,4375,2840,885,55145,204755
2568,  25 to 44 years,3425,10215,3480,4485,3555,6380,9885,2865,6870,5410,6060,4445,3170,12910,3380,1510,1060,1465,8445,7505,8300,2095,116785,424180
2569,  45 years and over,805,2845,775,735,855,1805,2885,750,1735,780,1490,645,1085,3765,800,325,310,1125,2670,2705,1315,530,30695,124295
2570,  Total - Age at immigration for the male immigrant population in private households - 25% sample data,3335,11440,3635,4065,3570,6885,10280,2915,6790,5380,5990,4185,3255,13020,3330,1675,1175,1850,9295,8310,7875,2200,120310,461660
2571,    Under 5 years,405,940,365,415,275,445,650,285,475,565,515,420,275,840,275,140,105,145,620,590,515,210,9480,39575
2572,    5 to 14 years,700,2155,790,780,625,1140,1480,585,1265,970,1180,750,660,1985,635,375,225,220,1315,1380,1215,470,20855,81570
2573,    15 to 24 years,565,2160,575,650,665,1760,2685,575,1330,950,1155,715,655,3075,725,335,245,280,2325,1900,1435,395,25125,93100
2574,    25 to 44 years,1275,4785,1525,1925,1700,2785,4280,1115,2955,2560,2420,2015,1165,5610,1345,655,470,760,3875,3235,4155,840,51380,189740
2575,    45 years and over,375,1390,380,295,315,755,1185,365,765,335,725,285,495,1510,360,170,135,445,1155,1205,555,280,13470,57670
2576,  Total - Age at immigration for the female immigrant population in private households - 25% sample data,4400,12160,4330,5495,4145,8415,12325,3720,8330,6200,7145,4825,4460,15685,4310,1855,1455,2040,10860,9850,8070,2580,142455,527885
2577,    Under 5 years,360,835,390,615,370,590,625,300,560,585,405,525,280,740,410,145,115,120,475,440,640,225,9720,38440
2578,    5 to 14 years,770,2085,795,815,550,1075,1500,615,1135,1050,1175,755,675,1750,510,360,230,230,1410,1155,1125,365,20095,76720
2579,    15 to 24 years,695,2355,790,1065,825,2105,2895,675,1745,1265,1165,750,915,3645,910,335,340,305,2900,2480,1400,495,30015,111655
2580,    25 to 44 years,2155,5435,1955,2560,1860,3600,5610,1745,3915,2855,3645,2430,2005,7300,2040,850,595,705,4565,4265,4150,1250,65405,234440
2581,    45 years and over,420,1455,395,440,540,1045,1700,385,970,450,765,360,590,2255,440,160,175,680,1520,1500,755,245,17225,66625
,,,,,,,,,,,,,,,,,,,,,,,,,
2582,Total - Selected places of birth for the immigrant population in private households - 25% sample data,7730,23595,7960,9560,7715,15300,22610,6640,15120,11580,13135,9010,7715,28710,7640,3535,2630,3890,20160,18160,15940,4780,262770,989545
2583,  Americas,390,2445,785,1465,1050,1110,1285,305,855,1905,635,1150,290,955,585,195,220,340,935,665,2545,550,20600,65330
2584,    Brazil,15,190,20,105,55,50,50,0,35,60,30,45,10,60,10,0,10,0,35,30,230,10,1030,2855
2585,    Colombia,20,160,20,50,35,45,85,0,70,70,15,45,10,55,25,10,0,0,50,55,110,20,950,3080
2586,    El Salvador,0,25,10,25,65,110,115,0,90,35,35,45,10,180,15,0,0,30,125,130,85,0,1125,4400
2587,    Guyana,0,25,10,15,15,15,10,0,25,15,10,15,0,10,10,0,10,10,25,10,35,0,255,920
2588,    Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,260
2589,    Jamaica,25,35,25,45,0,20,25,15,0,40,15,25,0,25,10,0,10,0,40,30,65,10,485,2230
2590,    Mexico,10,440,70,190,125,130,145,40,85,190,70,115,50,185,40,30,15,50,90,85,570,45,2760,7855
2591,    Peru,25,85,20,50,20,65,75,0,65,50,25,55,15,35,30,20,0,10,25,35,55,35,790,2695
2592,    Trinidad and Tobago,15,30,10,45,10,10,30,10,35,25,25,15,0,25,10,0,10,10,50,15,65,0,455,1940
2593,    United States,240,1085,535,795,540,355,465,195,210,1175,275,635,175,180,345,100,120,175,250,105,990,385,9295,26450
2594,    Other places of birth in Americas,35,355,60,150,185,300,280,30,235,245,145,165,15,195,110,25,45,50,250,170,330,40,3430,12645
2595,  Europe,1080,5580,1640,3275,2225,2320,2350,735,1305,4910,1355,2255,640,2395,1440,480,495,455,965,1055,5900,1210,43990,170930
2596,    Bosnia and Herzegovina,20,380,20,95,30,20,25,20,25,50,10,10,0,90,25,0,10,15,0,25,270,10,1160,3930
2597,    Croatia,40,125,15,70,105,140,50,10,25,65,25,40,40,70,20,10,0,0,0,60,95,25,1050,4110
2598,    France,65,240,55,170,75,45,85,10,20,215,35,150,25,75,50,15,20,30,35,15,285,55,1780,3440
2599,    Germany,70,340,175,230,180,60,200,35,95,430,60,140,35,90,140,45,15,35,100,100,505,130,3205,13515
2600,    Greece,130,20,85,30,30,55,45,30,35,315,20,50,20,70,70,10,20,0,35,40,30,35,1175,2885
2601,    Hungary,25,115,15,50,65,35,35,20,40,110,105,35,15,30,35,0,10,25,25,40,115,10,950,3705
2602,    Ireland,20,170,35,150,120,45,80,20,10,325,50,90,0,40,60,30,20,10,10,25,375,75,1755,3830
2603,    Italy,60,165,60,75,310,1120,260,20,105,140,25,80,15,505,75,10,20,15,60,195,185,15,3515,10395
2604,    Netherlands,40,65,40,55,55,40,50,30,25,105,30,55,10,10,25,10,0,10,45,15,115,40,860,6295
2605,    Poland,15,270,60,155,110,50,155,30,195,115,65,155,40,80,90,0,20,35,75,50,335,65,2150,10480
2606,    Portugal,10,40,0,25,70,130,330,0,125,30,10,20,10,495,75,0,15,10,40,90,60,20,1590,4660
2607,    Romania,35,245,30,90,60,10,20,20,20,95,105,40,50,40,10,0,0,10,40,10,260,40,1235,7110
2608,    Russian Federation,30,575,55,170,55,50,85,35,75,180,110,115,75,95,25,15,30,50,45,40,370,40,2335,8460
2609,    Serbia,0,320,45,195,70,10,30,10,20,100,95,40,0,50,20,10,45,10,15,15,215,10,1315,3780
2610,    Ukraine,0,280,20,55,10,0,70,25,25,115,50,90,30,70,30,0,10,0,65,20,225,20,1210,5475
2611,    United Kingdom,380,1445,790,1150,625,330,590,320,290,1955,285,790,190,345,520,255,195,135,260,170,1480,505,12970,56530
2612,    Other places of birth in Europe,110,775,145,495,255,205,245,110,180,565,275,360,70,245,175,65,60,60,100,145,980,135,5735,22325
2613,  Africa,160,905,195,520,225,195,340,110,400,430,265,250,70,395,160,130,85,200,215,185,605,145,6175,32100
2614,    Algeria,0,0,0,0,10,10,20,0,10,15,10,0,0,20,0,10,0,0,0,0,20,0,125,425
2615,    Egypt,10,55,10,25,10,20,0,0,0,45,10,10,0,10,0,10,0,0,0,10,95,10,310,2110
2616,    Ethiopia,0,35,0,30,20,35,45,0,55,10,25,10,0,45,10,0,0,45,35,20,15,10,440,1665
2617,    Kenya,10,125,15,65,30,15,25,15,40,30,25,30,0,55,15,10,15,35,20,15,80,15,680,4065
2618,    Morocco,10,20,0,20,20,0,15,10,15,25,10,10,0,15,10,10,10,10,0,0,25,0,210,730
2619,    Nigeria,0,25,10,10,0,0,0,0,10,0,10,10,10,15,0,0,0,0,15,10,0,0,130,1205
2620,    Somalia,0,10,0,0,20,0,10,0,0,0,10,15,0,0,0,0,0,10,15,0,0,0,100,1010
2621,"    South Africa, Republic of",75,320,130,185,50,45,95,65,50,210,85,90,35,50,75,85,50,20,45,25,160,60,1985,8205
2622,    Other places of birth in Africa,60,300,45,185,75,60,125,30,225,90,90,85,35,185,50,25,15,90,80,105,200,40,2195,12690
2623,  Asia,6020,14310,5190,4035,3980,11425,18160,5410,12340,3915,10805,5095,6690,24280,5245,2685,1765,2830,17525,15895,6535,2760,186710,697305
2624,    Afghanistan,0,30,0,10,10,35,10,0,25,25,20,10,0,25,0,0,0,0,60,15,15,0,290,4865
2625,    Bangladesh,0,50,0,0,0,25,10,0,20,10,20,55,25,0,25,0,15,0,195,25,20,0,490,1870
2626,    China,3325,3335,2960,950,1685,5670,6955,2740,4135,995,4045,905,3095,9005,1550,1445,480,1710,2785,6715,770,1545,66755,188965
2627,    Hong Kong,940,1465,740,610,410,1460,1640,1050,2280,520,2195,490,1350,2915,760,370,390,230,1470,2730,425,290,24695,71720
2628,    India,110,460,85,145,105,240,795,130,805,255,295,235,260,1315,210,90,65,40,5650,1290,365,65,13000,125640
2629,    Iran,125,3415,60,335,90,120,115,80,85,310,185,220,115,140,75,30,50,30,95,40,1485,175,7380,35250
2630,    Iraq,10,55,0,30,25,40,55,10,40,15,70,30,0,50,10,0,0,15,95,60,50,0,655,5210
2631,    Japan,95,595,80,240,145,125,245,95,170,285,265,215,85,275,165,30,75,40,105,105,645,105,4195,10680
2632,"    Korea, South",390,1450,145,275,75,85,120,215,485,250,210,330,235,415,55,95,70,25,70,90,520,125,5700,36860
2633,    Lebanon,15,40,10,25,15,0,10,25,0,30,10,15,10,30,10,20,0,0,10,0,90,10,375,1860
2634,    Pakistan,10,80,10,35,25,15,50,10,55,40,10,30,15,70,10,0,30,0,260,60,90,20,920,9225
2635,    Philippines,105,795,170,450,590,1245,4385,235,2015,250,1665,1375,320,5330,1235,100,180,65,4545,2695,695,45,28480,96685
2636,    Sri Lanka,10,55,25,10,15,45,225,0,60,35,30,90,0,145,20,0,0,0,440,55,30,15,1290,4160
2637,    Syria,20,40,0,10,10,15,20,0,0,20,10,0,10,0,10,15,0,40,30,0,15,0,270,2315
2638,    Taiwan,620,910,580,420,70,165,225,615,535,300,1070,280,720,415,375,345,240,30,275,270,315,155,8920,37425
2639,    Viet Nam,30,230,20,45,515,1540,2585,40,770,95,185,380,120,2575,370,15,35,430,740,1075,120,10,11935,24025
2640,    Other places of birth in Asia,235,1310,290,420,205,590,710,180,860,485,525,440,335,1570,380,120,130,160,705,670,885,195,11360,40565
2641,  Oceania and other places of birth,85,360,155,275,235,250,475,75,215,415,70,250,25,685,210,50,65,65,510,360,360,120,5300,23880
